,Address,Price,Details,Links
166,"7953-59 S Dobson Ave | 7953 S Dobson Ave, Chicago, IL",$745+ Studio,$915+ 1 bd,https://www.zillow.com/apartments/chicago-il/7953.dash.59-s-dobson-ave/5XjXWD/
167,"8640 S Ingleside Ave, 8640 S Ingleside Ave #2F, Chicago, IL 60619",$955/mo,2 bds 1 ba 550 sqft,https://www.zillow.com/apartments/chicago-il/8640-s-ingleside-ave/9RzcXj/
168,"536 West Arlington | 536 W Arlington Pl, Chicago, IL","$1,195+ Studio","$1,550+ 1 bd$3,050+ 2 bds",https://www.zillow.com/apartments/chicago-il/536-west-arlington/5XgB2t/
169,"1632 W. Belmont, 1632 W Belmont Ave, Chicago, IL 60657",$965+/mo,Studio 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/1632-w.-belmont/9Sy3/
170,"1734 W 87th St, 1734 W 87th St #8658-B, Chicago, IL 60620","$1,480/mo","4 bds 1.5 ba 1,400 sqft",https://www.zillow.com/apartments/chicago-il/1734-w-87th-st/5Xs44f/
171,"722 S Racine, 722 S Racine Ave #3, Chicago, IL 60607","$1,800/mo",2 bds 1 ba 800 sqft,https://www.zillow.com/apartments/chicago-il/722-s-racine/Dm2n/
172,"4735 Beacon | 4735 N Beacon St, Chicago, IL",$950+ Studio,,https://www.zillow.com/apartments/chicago-il/4735-beacon/CTxf/
173,"6210-16 S. Dorchester Ave. | 6210 S Dorchester Ave, Chicago, IL","$1,295+ 2 bds","$1,395+ 3 bds",https://www.zillow.com/apartments/chicago-il/6210.dash.16-s.-dorchester-ave./5Xgf43/
174,"Carriage House Lofts | 1545 S State St, Chicago, IL","$2,698+ 2 bds","$3,450+ 3 bds",https://www.zillow.com/apartments/chicago-il/carriage-house-lofts/5XgvLz/
175,"7539-53 N. Bell Ave., 7539 N Bell Ave #7549-1C, Chicago, IL 60645","$1,475/mo",2 bds 1 ba 950 sqft,https://www.zillow.com/b/7539-53-n.-bell-ave.-chicago-il-F73V/
176,"Park Fullerton by Reside | 325 W Fullerton Pkwy, Chicago, IL","$2,890+ 1 bd","$3,900+ 2 bds$11,975+ 3 bds",https://www.zillow.com/apartments/chicago-il/park-fullerton-by-reside/5Xh3Cq/
177,"5800 N Sheridan | 5800 N Sheridan Rd, Chicago, IL","$1,200+ Studio","$1,495+ 1 bd$1,995+ 2 bds",https://www.zillow.com/apartments/chicago-il/5800-n-sheridan/5Xnc8C/
178,"1022 W. Dakin, 1022 W Dakin St, Chicago, IL 60613","$5,000+/mo",1 bd 1 ba-- sqft,https://www.zillow.com/b/1022-w.-dakin-chicago-il-5XhPff/
179,"4363 N Kenmore Apartments | 4363 N Kenmore Ave, Chicago, IL",$925+ Studio,,https://www.zillow.com/apartments/chicago-il/4363-n-kenmore-apartments/9RyN2w/
