,Address,Price,Details,Links
63,"6825 N. Sheridan Rd | 6825 N Sheridan Rd, Chicago, IL","$1,075+ Studio","$1,250+ 1 bd",https://www.zillow.com/apartments/chicago-il/6825-n.-sheridan-rd/5XcTP9/
64,"NEXT Apartments | 347 W Chestnut St, Chicago, IL","$2,066+ Studio","$2,422+ 1 bd$3,287+ 2 bds$8,762+ 3 bds",https://www.zillow.com/apartments/chicago-il/next-apartments/65gycw/
65,"73 East Lake | 73 E Lake St, Chicago, IL","$2,771+ Studio","$3,053+ 1 bd$3,951+ 2 bds",https://www.zillow.com/apartments/chicago-il/73-east-lake/5Xg9yq/
66,"73 East Lake | 73 E Lake St, Chicago, IL","$2,751+ Studio","$2,993+ 1 bd$3,671+ 2 bds",https://www.zillow.com/b/73-east-lake-chicago-il-9jVbTQ/
67,"The Fleetwood, 6026 N Winthrop Ave APT 6A, Chicago, IL 60660","$1,595/mo",1 bd 1 ba-- sqft,https://www.zillow.com/b/the-fleetwood-chicago-il-Cc5k69/
68,"The Fleetwood | 6026 N Winthrop Ave, Chicago, IL","$1,295+ Studio","$1,995+ 2 bds",https://www.zillow.com/apartments/chicago-il/the-fleetwood/5XfKDr/
69,"426 W. Surf, 426 W Surf St, Chicago, IL 60657","$1,545+/mo",1 bd 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/426-w.-surf/5XfTvR/
70,"2536 Sawyer LLC, 2536 N Sawyer Ave APT 409, Chicago, IL 60647","$1,350/mo",1 bd 1 ba 532 sqft,https://www.zillow.com/apartments/chicago-il/2536-sawyer-llc/9hJghC/
71,"2950 North Sheridan | 2950 N Sheridan Rd, Chicago, IL","$4,470+ 2 bds","$5,708+ 3 bds",https://www.zillow.com/apartments/chicago-il/2950-north-sheridan/B677wB/
72,"318 W. Grand Ave., 318 W Grand Ave #204, Chicago, IL 60654","$3,552/mo",2 bds 2 ba-- sqft,https://www.zillow.com/apartments/chicago-il/318-w.-grand-ave./CPK3/
73,"5222-38 S. Drexel Avenue | 5222 S Drexel Ave, Chicago, IL","$1,695+ 2 bds","$1,950+ 3 bds",https://www.zillow.com/apartments/chicago-il/5222.dash.38-s.-drexel-avenue/5Xh7Gq/
74,"2779 Milwaukee LLC, 2779 N Milwaukee Ave #135, Chicago, IL 60647","$1,050/mo",Studio 1 ba 400 sqft,https://www.zillow.com/apartments/chicago-il/2779-milwaukee-llc/CPkC/
75,"Buena Terrace - 4242 N Sheridan Rd | 4242 N Sheridan Rd, Chicago, IL","$1,299+ Studio","$1,221+ 1 bd",https://www.zillow.com/apartments/chicago-il/buena-terrace-.dash.-4242-n-sheridan-rd/5Xd76x/
76,"Imprint | 717 S Clark St, Chicago, IL","$2,065+ Studio","$2,190+ 1 bd$3,250+ 2 bds$8,750+ 3 bds$8,415+ 4 bds",https://www.zillow.com/apartments/chicago-il/imprint/BNKLQF/
77,"Marlowe | 169 W Huron St, Chicago, IL","$2,195+ 1 bd","$3,893+ 2 bds",https://www.zillow.com/apartments/chicago-il/marlowe/5ZJqpF/
78,"Pittsfield Apartments | 55 E Washington St, Chicago, IL","$2,295+ 2 bds","$2,695+ 3 bds",https://www.zillow.com/apartments/chicago-il/pittsfield-apartments/9PsH/
79,"1572 N Milwaukee, 1572 N Milwaukee Ave, Chicago, IL 60622","$4,400+/mo",4 bds 2 ba-- sqft,https://www.zillow.com/homedetails/1572-N-Milwaukee-Ave-07C6203E1-Chicago-IL-60622/2054616114_zpid/
80,"1572 N Milwaukee, 1572 N Milwaukee Ave, Chicago, IL 60622","$2,300+/mo",1 bd 1 ba-- sqft,https://www.zillow.com/homedetails/1572-N-Milwaukee-Ave-CB284A51E-Chicago-IL-60622/2054616118_zpid/
81,"424 W. Diversey, 424 W Diversey Pkwy, Chicago, IL 60614","$1,255+/mo",Studio 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/424-w.-diversey/F8Bc/
82,"Lakeview 3200 Apartments | 3218 N Clark St, Chicago, IL","$2,249+ 1 bd",,https://www.zillow.com/apartments/chicago-il/lakeview-3200-apartments/B7mT63/
83,"4731 N Western | 4731 N Western Ave, Chicago, IL","$1,795+ 1 bd","$2,395+ 2 bds",https://www.zillow.com/apartments/chicago-il/4731-n-western/9zBq/
84,"742 W. Fullerton, 742 W Fullerton Ave, Chicago, IL 60614","$5,000+/mo",1 bd 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/742-w.-fullerton/5XgfCF/
85,"839 Diversey, 839 W Diversey Pkwy, Chicago, IL 60614","$5,000+/mo",Studio 1 ba-- sqft,https://www.zillow.com/b/839-diversey-chicago-il-9dgM/
86,"5625 North Winthrop | 5625 N Winthrop Ave, Chicago, IL",$995+ Studio,"$1,225+ 1 bd",https://www.zillow.com/apartments/chicago-il/5625-north-winthrop/5Xfb4v/
87,"Maynard At Elaine Place, 3444 N Elaine Pl, Chicago, IL 60657","$2,045/mo",2 bds 1 ba 650 sqft,https://www.zillow.com/homedetails/3444-N-Elaine-Pl-Chicago-IL-60657/2105648409_zpid/
88,"1049 West Oakdale | 1049 W Oakdale Ave, Chicago, IL","$1,174+ Studio","$1,679+ 1 bd",https://www.zillow.com/apartments/chicago-il/1049-west-oakdale/5Xcv83/
89,"The Legacy HB at Clarendon Park | 4520 N Clarendon Ave, Chicago, IL","$1,600+ 1 bd","$2,200+ 2 bds",https://www.zillow.com/apartments/chicago-il/the-legacy-hb-at-clarendon-park/5Xh8BS/
90,"711 West Belmont, 711 W Belmont Ave, Chicago, IL 60657","$1,095+/mo",Studio 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/711-west-belmont/Dbsv/
91,"7333 Ridge, 7333 N Ridge Blvd APT 509, Chicago, IL 60645","$1,295/mo",1 bd 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/7333-ridge/5XgqcL/
92,"660 West Wrightwood, 660 W Wrightwood Ave, Chicago, IL 60614","$1,695+/mo",1 bd 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/660-west-wrightwood/5Xg2J4/
93,"Marshfield Apartments, 3413-21 N Marshfield Ave #34193E, Chicago, IL 60657","$1,525/mo",1 bd 1 ba 600 sqft,https://www.zillow.com/apartments/chicago-il/marshfield-apartments/9hG4D3/
94,"The Western | 1920 N Milwaukee Ave, Chicago, IL","$3,200+ 2 bds",,https://www.zillow.com/apartments/chicago-il/the-western/9S5M2Q/
95,"5137 N Broadway, 5137 N Broadway St #202, Chicago, IL 60640","$2,550/mo",2 bds 2 ba-- sqft,https://www.zillow.com/apartments/chicago-il/5137-n-broadway/9S4VwS/
96,"The Sheridan Pratt | 6758 N Sheridan Rd, Chicago, IL","$1,275+ Studio","$1,525+ 1 bd$1,775+ 2 bds",https://www.zillow.com/apartments/chicago-il/the-sheridan-pratt/5XjBTP/
97,"Monark | 4410 N Clark St, Chicago, IL","$2,395+ 2 bds","$2,940+ 3 bds",https://www.zillow.com/apartments/chicago-il/monark/9S4RB6/
98,"Drexel Grand | 5220 S Drexel Ave, Chicago, IL","$1,150+ Studio","$1,435+ 1 bd$1,495+ 2 bds",https://www.zillow.com/apartments/chicago-il/drexel-grand/5XhXYY/
99,"The Onyx on Carmen | 915 W Carmen Ave, Chicago, IL",$963+ Studio,"$1,625+ 1 bd",https://www.zillow.com/apartments/chicago-il/the-onyx-on-carmen/5XdVrc/
100,"1040 Hollywood | 1040 W Hollywood Ave, Chicago, IL","$1,095+ Studio","$1,225+ 1 bd",https://www.zillow.com/apartments/chicago-il/1040-hollywood/9WNX/
101,"The Elevation Lofts | 1531 W Howard St, Chicago, IL","$1,550+ Studio","$2,200+ 2 bds$3,200+ 3 bds",https://www.zillow.com/apartments/chicago-il/the-elevation-lofts/BMwvfR/
102,"One Six Six | 166 N Aberdeen St, Chicago, IL","$2,140+ Studio","$2,826+ 1 bd$3,915+ 2 bds$8,735+ 3 bds",https://www.zillow.com/apartments/chicago-il/one-six-six/9Rx6Tz/
103,"7526-36 S Colfax Ave, 7526-36 S Colfax Ave #36-2B, Chicago, IL 60649","$1,195/mo",2 bds 1 ba 965 sqft,https://www.zillow.com/apartments/chicago-il/7526.dash.36-s-colfax-ave/9n6tZS/
